Date,Location,Model,Registration,Fatalities,lat,lon
1/29/18,"Zhengchang, Suiyang County, Guizhou Province",Shaanxi Y-8GX-3,30513,100.00%,27.89521121,107.252496
2/10/18,"Grand Canyon, Arizona",Eurocopter EC 130B4,N155GC,42.86%,36.10181357,-112.1225696
2/11/18,"Argunovo, Russia",Antonov AN-148-100,RA-61704,100.00%,59.85908366,45.1042299
2/18/18,"Kohangan village, Iran",ATR 72-212,EP-ATS,100.00%,30.89611154,51.65101995
3/6/18,"Latakia, Syria",Antonov An-26,RF-92955/52,100.00%,35.54681771,35.80024656
3/11/18,"New York, New York",Eurocopter AS 350B2,N350LH,83.33%,40.72736832,-73.90016616
3/11/18,"81 miles SW of Shahre Kurd, Iran",Canadair CL-600-2B16 Challenger 604,TC-TRB,100.00%,32.29559101,50.82507513
3/12/18,"Kathmandu, Nepal",de Havilland Canada DHC-8-402Q Dash 8,S2-AGU ,71.83%,27.75384501,85.30779582
4/11/18,"Boufarik AB, Algeria",Ilyushin 76-TD,7T-WIP,100.00%,36.59217168,2.938957653
4/17/18,"NW of Philadelphia, Pennsylvania",Boeing 737-7H4,N722SW,0.67%,40.220593,-75.32947645
5/2/18,"Port Wentworth, Georgia",Lockheed HC-130H Hercules,65-0968,100.00%,32.16344155,-81.17887335
5/18/18,"Havana, Cuba",Boeing 737-201,XA-UHZ,100.00%,23.08760814,-82.33592151
6/5/18,"Near Njabini, Kenya",Cessna 208B Grand Carivan,5Y-CAC,100.00%,-0.721656117,36.64967182
7/10/18,"Pretoria, South Africa",Convair CV-340,ZS-BRV,5.26%,-25.64373836,28.22250137
8/4/18,"Flims, Switzerland",Junkers JU-52,HB-HOT,100.00%,46.85866744,9.285953665
9/17/18,"Near Latakia-Khmeimim Air Base, Syria",Ilyushin Il-20M,RF-93610,100.00%,35.417135,35.94618731
9/28/18,"Chuuk, Micronesia",Boeing 737-8BK,P2-PXE,2.13%,5.491396247,153.5432394
10/29/18,"Off Jakarta, Indonesia",Boeing 737-MAX 8,PK-LQP,100.00%,-6.058997767,106.7017555
11/6/18,"Georgetown, Guyana",Boeing 757-N23,N524AT ,0.78%,6.801941577,-58.15668609
1/14/19,"Karaj, Iran",Boeing 707-3J9C,EP-CPP,93.75%,35.88635969,51.00223184
2/23/19,"Houston, Texas",Boeing 767-375ER,N1217A,100.00%,29.91726895,-95.24264232
3/9/19,"Vereda La Bendicion, Colombia",Douglas DC-3,HK-2494,100.00%,7.64744238,-76.72076169
3/10/19,"Bishoftu, Ethiopia",Boeing 737 Max 8,ET-AVJ,100.00%,8.758862926,39.00849778
4/16/19,"Puerto Montt, Chile",Pilatus-Britten Norman BN-2B-27 Islander,CC-CYR ,100.00%,-41.47524935,-72.96793933
5/5/19,"Near Monclava, Mexico",Canadair CL-600-2B16-Challenger,N601VH,100.00%,26.87894144,-101.3614921
5/5/19,"Moscow, Russia",Sukhoi Superjet-100-95B,RA-89098 ,52.56%,55.92626896,37.61589727
6/3/19,"Near Lipo, India",Antonov An-32,K2752,100.00%,28.50643296,94.46112368
7/30/19,"Rawalpindi, India",Beechcraft B300 King Air,766,100.00%,31.28973692,75.79214571
9/11/19,"Toledo, Ohio",Convair CV-440F,N24DR,100.00%,41.71159929,-83.5825296
10/4/19,"Lviv, Ukraine",Antonov An-12BK,UR-CAH,62.50%,49.84563835,24.00396718
11/24/19,"Goma, Democratic Republic of Congo",Dornier 228-201,9S-GNH,100.00%,-1.638860194,29.2149634
12/27/19,"Almaty, Kazakhstan",Fokker 100,UP-F100,12.24%,43.17028582,76.9440357
1/2/20,"Geneina, Sudan",Antonov An12-A,?,100.00%,13.45821971,22.43660241
1/8/20,"Near Shahriah, Iran",Boeing 737-8KV WL,UR-PSR ,100.00%,35.6672553,51.02603343
2/5/20,"Istanbul, Turkey",Boeing 737-86J,TC-IZK,1.69%,41.12417167,28.93474426
3/29/20,"Manila, Philippines",IAI 1124A Westwind II,RP-C5880,100.00%,14.60745157,120.9907151
5/22/20,"Karachi, Pakistan",Airbus A320-214,AP-BLD,97.98%,25.08954004,67.20420653
8/7/20,"Calicut, India",Boeing 737-8HG,VT-AXH,10.53%,11.34939478,75.77578372
8/22/20,"Juba, South Sudan",Antonov 26B,EX-126,87.50%,4.88463354,31.5600202
9/25/20,"Near Chuguev, Ukraine",Antonov An26SH,76 yellow,96.30%,49.83637368,36.67523629
1/9/21,"Near Jakarta, Indonesia",Boeing 737-524,PK-CLC,100.00%,-6.229672953,106.8335914
3/2/21,"Pieri, Sudan",Let L-410UVP-E,HK-4274 ,100.00%,8.032311514,32.03539223
3/28/21,"Near Butte, Alaska",Eurocopter AS350B3 Ecureuil,N351SH,83.33%,61.57421792,-148.9807188
5/21/21,"Near Kaduna, Nigeria",Beechcraft B300 King Air 350i,NAF203,100.00%,10.50735284,7.441814668
6/10/21,"Near Pyin Oo Lwin, Myanmar",Beechcraft 1900D,4610,85.71%,22.01796703,96.45683466
7/4/21,"Patikul, Sulu, Philippines",Lockheed C-130H Hercules,5125,52.08%,6.044125935,121.0861916
7/6/21,"Palana, Russia",Antonov An 26B-100,RA-26085,100.00%,59.08120399,159.9482053
9/12/21,"Kazachinskoye , Russia",Let L-410UVP-E20,RA-67042,25.00%,56.29394673,107.3847059
12/27/21,"El Cajon, California",Learjet 35A,N880Z,100.00%,32.82172838,-116.9841252